,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
10955,J. HeywardRF,5,1,3,2,0,0,1,.241,.337,.443,M. TogliaRF,4,1,1,0,0,0,2,.188,.239,.400
10956,M. RojasSS,5,2,3,1,0,0,1,.292,.339,.460,E. Montero1B,3,1,1,1,0,1,0,.203,.270,.295
10957,C. Biggio3B,4,1,1,1,0,1,1,.214,.353,.214,H. GoodmanDH,4,1,1,2,1,0,1,.195,.235,.455
10958,G. Lux2B,5,1,1,1,0,0,1,.211,.261,.284,A. Trejo3B,4,0,0,0,0,0,1,.135,.135,.135
10959,team,39,9,14,9,0,8,8,,,,A. Amador2B,3,0,0,0,0,0,0,.103,.103,.103
10960,,,,,,,,,,,,team,34,5,6,5,3,1,9,,,
10961,gameId: 401569555,,,,,,,,,,,,,,,,,,,,,
10962,B. Turang2B,4,1,2,1,1,0,1,.291,.359,.406,N. Schanuel1B,4,1,2,1,0,0,0,.224,.304,.351
10963,J. Ortiz3B,3,0,0,0,0,1,1,.277,.381,.467,M. MoniakCF,3,0,1,0,0,0,2,.194,.244,.297
10964,C. YelichLF,4,0,0,0,0,0,0,.326,.403,.494,aK. PillarPH-CF,1,0,0,0,0,0,0,.336,.377,.589
10965,W. AdamesSS,3,1,0,0,0,1,0,.241,.329,.434,T. WardLF,2,0,0,1,0,1,0,.238,.320,.426
10966,J. Bauers1B,4,1,1,2,1,0,0,.205,.291,.391,W. CalhounDH,3,0,0,0,0,1,1,.289,.328,.391
10967,R. HoskinsDH,3,0,0,0,0,1,1,.218,.316,.419,L. O'HoppeC,4,1,1,0,0,0,1,.280,.330,.467
10968,S. FrelickRF,4,0,1,0,0,0,0,.257,.333,.326,B. Drury2B,3,0,0,0,0,0,0,.168,.224,.234
10969,G. SanchezC,3,0,1,0,0,1,1,.216,.293,.418,Z. NetoSS,3,1,1,2,1,0,0,.249,.297,.440
10970,B. PerkinsCF,3,0,0,0,0,0,1,.244,.318,.364,J. AdellRF,2,1,0,0,0,1,2,.191,.256,.412
10971,team,31,3,5,3,2,4,5,,,,L. Guillorme3B,2,1,2,1,0,0,0,.304,.375,.411
10972,,,,,,,,,,,,bL. RengifoPH-3B,1,0,0,0,0,0,1,.315,.360,.435
10973,,,,,,,,,,,,team,28,5,7,5,1,3,7,,,
10974,gameId: 401569556,,,,,,,,,,,,,,,,,,,,,
10975,L. Arraez1B,3,0,0,0,0,0,0,.341,.366,.395,K. SchwarberDH,3,2,2,4,2,2,0,.253,.373,.457
10976,aL. CampusanoPH-1B,1,0,0,0,0,0,1,.237,.286,.364,T. TurnerSS,5,1,2,0,0,0,0,.345,.392,.458
10977,F. Tatis Jr.RF,3,0,1,0,0,0,1,.273,.348,.458,B. Harper1B,5,1,2,0,0,0,0,.282,.390,.520
10978,J. AzocarLF,1,0,0,0,0,0,0,.214,.267,.243,E. Sosa3B,0,0,0,0,0,0,0,.277,.338,.500
10979,J. ProfarLF,3,1,1,0,0,0,0,.321,.421,.488,A. Bohm3B-1B,5,1,3,3,1,0,1,.307,.359,.489
10980,D. PeraltaRF,1,0,1,0,0,0,0,.250,.333,.300,B. Stott2B,4,0,1,0,0,0,0,.234,.332,.360
10981,M. Machado3B,4,1,2,0,0,0,1,.249,.306,.366,aW. MerrifieldPH-2B,1,0,0,0,0,0,0,.190,.274,.298
10982,D. SolanoDH,3,0,1,1,0,0,0,.286,.359,.429,N. CastellanosRF,4,0,2,0,0,0,0,.209,.266,.356
10983,J. Cronenworth2B,3,0,0,1,0,0,0,.255,.322,.436,B. MarshCF-LF,3,2,2,0,0,1,1,.263,.345,.421
10984,T. Wade2B,0,0,0,0,0,0,0,.250,.333,.275,D. DahlLF,4,0,0,0,0,0,1,.200,.200,.467
10985,H. KimSS,2,0,1,0,0,1,0,.220,.334,.388,C. PacheCF,0,0,0,0,0,0,0,.219,.311,.297
10986,J. MerrillCF,3,0,0,0,0,0,2,.278,.314,.407,R. MarchanC,4,2,4,2,0,0,0,.417,.417,.667
10987,K. HigashiokaC,3,0,0,0,0,0,1,.167,.189,.403,team,38,9,18,9,3,3,3,,,
10988,team,30,2,7,2,0,1,6,,,,,,,,,,,,,,
10989,gameId: 401569558,,,,,,,,,,,,,,,,,,,,,
10990,B. WiselySS,6,0,0,0,0,0,1,.288,.303,.438,M. TauchmanDH,1,0,1,0,0,1,0,.259,.359,.382
10991,H. RamosCF,5,1,2,1,1,0,2,.328,.404,.577,P. WisdomPR-DH,2,1,1,0,0,1,0,.200,.299,.400
10992,P. BaileyC,4,1,2,1,1,1,0,.286,.360,.435,C. Morel3B,4,0,1,0,0,0,0,.196,.301,.373
10993,M. Chapman3B,5,1,0,0,0,0,2,.230,.309,.385,D. Bote3B,1,0,0,0,0,0,1,.313,.313,.375
10994,M. ConfortoLF,3,0,0,0,0,2,1,.235,.296,.417,C. BellingerCF-1B,4,1,0,0,0,1,0,.258,.317,.432
